"Ticketnumber";"CREATE_TIME";"First_Assignment";"CLOSE_TIME";"NewProjectCreatedAt";"Minutes until Committed";"Minutes until Completed";"Minutes of Touchtime"
"4446";"17.09.2019 13:00:08";"17.09.2019 13:02:00";"17.09.2019 14:47:41";"";"2";"108";"1.00"
"4448";"17.09.2019 13:00:10";"17.09.2019 13:02:17";"17.09.2019 14:47:52";"";"2";"108";"1.00"
"4449";"17.09.2019 13:00:11";"17.09.2019 13:02:39";"17.09.2019 14:47:47";"";"2";"108";"1.00"
"4504";"17.09.2019 13:00:12";"17.09.2019 13:03:25";"17.09.2019 13:04:43";"17.09.2019 13:01:45";"3";"5";"2.00"
"4511";"17.09.2019 14:30:07";"17.09.2019 14:35:53";"17.09.2019 15:23:11";"";"6";"53";"6.00"
"4523";"17.09.2019 14:30:09";"17.09.2019 14:40:15";"17.09.2019 15:36:10";"";"10";"66";"8.00"
"4534";"17.09.2019 14:30:10";"17.09.2019 14:37:36";"17.09.2019 14:37:46";"";"7";"8";"5.00"
"4548";"17.09.2019 15:00:10";"17.09.2019 15:12:37";"17.09.2019 15:13:36";"";"12";"13";"10.00"
"4565";"17.09.2019 15:10:06";"17.09.2019 15:21:46";"17.09.2019 15:22:05";"";"12";"12";"5.00"
"4574";"17.09.2019 15:30:06";"17.09.2019 15:38:45";"17.09.2019 15:39:45";"";"9";"10";"10.00"
"4581";"17.09.2019 16:00:10";"17.09.2019 16:02:21";"17.09.2019 16:02:46";"";"2";"3";
"4591";"17.09.2019 19:40:07";"17.09.2019 20:18:52";"17.09.2019 20:19:11";"17.09.2019 20:18:48";"39";"39";"4.00"
